// output of ./demo/comb/lyndon-words-restrpref-demo.cc:
// Description:
//% Lyndon words up to length n with restricted prefixes.

arg 1: 6 == n  [Lyndon words up to length n]  default=6
arg 2: 0 == a  [First letter in the alphabet]  default=0
arg 3: 2 == z  [Last letter in the alphabet]  default=2
arg 4: 1 == q  [0 ==> show all, 1 ==> only necklaces, 2 ==> only Lyndon words]  default=1
   1:  0.0 0 0 0 0   [1]
   2:  0 0 0 0 0 1.  [6]
   3:  0 0 0 0 1 1.  [5]
   4:  0 0 0 0 1 2.  [6]
   5:  0 0 0 1 0 1.  [4]
   6:  0 0 0 1 1 1.  [5]
   7:  0 0 0 1 1 2.  [6]
   8:  0 0 0 1 2 1.  [5]
   9:  0 0 0 1 2 2.  [6]
  10:  0 0 1.0 0 1   [3]
  11:  0 0 1 0 1 1.  [5]
  12:  0 0 1 0 1 2.  [6]
  13:  0 0 1 1 0 1.  [4]
  14:  0 0 1 1 1 1.  [5]
  15:  0 0 1 1 1 2.  [6]
  16:  0 0 1 1 2 1.  [5]
  17:  0 0 1 1 2 2.  [6]
  18:  0 0 1 2 1 1.  [4]
  19:  0 0 1 2 1 2.  [6]
  20:  0 0 1 2 2 1.  [5]
  21:  0 0 1 2 2 2.  [6]
  22:  0 1.0 1 0 1   [2]
  23:  0 1 0 1 1 1.  [5]
  24:  0 1 0 1 1 2.  [6]
  25:  0 1 0 1 2 1.  [5]
  26:  0 1 0 1 2 2.  [6]
  27:  0 1 1.0 1 1   [3]
  28:  0 1 1 0 1 2.  [6]
  29:  0 1 1 1 1 1.  [4]
  30:  0 1 1 1 1 2.  [6]
  31:  0 1 1 1 2 1.  [5]
  32:  0 1 1 1 2 2.  [6]
  33:  0 1 1 2 1 1.  [4]
  34:  0 1 1 2 1 2.  [6]
  35:  0 1 1 2 2 1.  [5]
  36:  0 1 1 2 2 2.  [6]
  37:  0 1 2 1 1 1.  [3]
  38:  0 1 2 1 1 2.  [6]
  39:  0 1 2 1 2 1.  [5]
  40:  0 1 2 1 2 2.  [6]
  41:  0 1 2 2 1 1.  [4]
  42:  0 1 2 2 1 2.  [6]
  43:  0 1 2 2 2 1.  [5]
  44:  0 1 2 2 2 2.  [6]
  45:  1.1 1 1 1 1   [1]
  46:  1 1 1 1 1 2.  [6]
  47:  1 1 1 1 2 2.  [5]
  48:  1 1 1 2 1 2.  [4]
  49:  1 1 1 2 2 2.  [5]
  50:  1 1 2.1 1 2   [3]
  51:  1 1 2 1 2 2.  [5]
  52:  1 1 2 2 1 2.  [4]
  53:  1 1 2 2 2 2.  [5]
  54:  1 2.1 2 1 2   [2]
  55:  1 2 1 2 2 2.  [5]
  56:  1 2 2.1 2 2   [3]
  57:  1 2 2 2 2 2.  [4]
  58:  2.2 2 2 2 2   [1]
 ct = 58
